DATE,STORE_ID,PRODUCT_ID,CATEGORY,SALES_UNITS,SALES_VALUE,PROMOTIONAL_DISCOUNT,WEATHER_IMPACT
2023-01-01,STORE-41,PROD-151,Furniture,47.0,455.69,5,Extreme Heat
2023-01-02,STORE-8,PROD-142,Grocery,47.0,142.12,5,Extreme Heat
2023-01-03,STORE-2,PROD-90,Electronics,4.0,411.64,0,Snow
2023-01-04,STORE-48,PROD-89,Furniture,7.0,499.68,15,Extreme Heat
2023-01-05,STORE-18,PROD-42,Furniture,45.0,113.6,10,None
2023-01-06,STORE-16,PROD-67,Grocery,35.0,139.93,20,Rain
2023-01-07,STORE-15,PROD-192,Electronics,48.0,334.8,5,None
2023-01-08,STORE-9,PROD-177,Electronics,9.0,483.07,20,Rain
2023-01-09,STORE-48,PROD-24,Furniture,8.0,458.75,0,None
2023-01-10,STORE-7,PROD-73,Clothing,45.0,256.41,20,None
2023-01-11,STORE-44,PROD-8,Furniture,17.0,399.6,20,Extreme Heat
2023-01-12,STORE-48,PROD-99,Furniture,17.0,76.52,10,None
2023-01-13,STORE-35,PROD-13,Furniture,49.0,488.94,0,Snow
2023-01-14,STORE-6,PROD-42,Furniture,33.0,482.53,20,Snow
2023-01-15,STORE-38,PROD-147,Grocery,32.0,90.23,5,Snow
2023-01-16,STORE-28,PROD-200,Electronics,8.0,156.72,0,Snow
2023-01-17,STORE-3,PROD-55,Grocery,19.0,59.08,5,Extreme Heat
2023-01-18,STORE-2,PROD-57,Grocery,38.0,143.14,15,Snow
2023-01-19,STORE-6,PROD-166,Grocery,3.0,409.82,20,None
2023-01-20,STORE-14,PROD-58,Furniture,5.0,195.37,0,Snow
2023-01-21,STORE-15,PROD-174,Clothing,13.0,53.31,5,Extreme Heat
2023-01-22,STORE-33,PROD-53,Electronics,47.0,177.69,20,Rain
2023-01-23,STORE-39,PROD-69,Clothing,46.0,490.88,10,None
2023-01-24,STORE-2,PROD-167,Grocery,31.0,318.54,5,None
2023-01-25,STORE-36,PROD-105,Grocery,16.0,213.92,5,Extreme Heat
2023-01-26,STORE-13,PROD-132,Clothing,16.0,91.6,15,Rain
2023-01-27,STORE-46,PROD-6,Clothing,22.0,493.23,10,Snow
2023-01-28,STORE-42,PROD-200,Clothing,29.0,412.22,15,Rain
2023-01-29,STORE-45,PROD-197,Grocery,22.0,147.92,10,None
2023-01-30,STORE-35,PROD-175,Grocery,43.0,44.33,5,None
2023-01-31,STORE-27,PROD-3,Electronics,3.0,37.75,15,None
2023-02-01,STORE-15,PROD-122,Electronics,10.0,68.99,20,Rain
2023-02-02,STORE-29,PROD-34,Grocery,42.0,294.58,10,Snow
2023-02-03,STORE-38,PROD-166,Clothing,21.0,465.09,5,None
2023-02-04,STORE-18,PROD-45,Clothing,16.0,253.4,0,Extreme Heat
2023-02-05,STORE-1,PROD-154,Electronics,12.0,423.04,10,Snow
2023-02-06,STORE-49,PROD-3,Grocery,2.0,228.48,10,None
2023-02-07,STORE-11,PROD-58,Electronics,41.0,357.21,20,Snow
2023-02-08,STORE-45,PROD-65,Electronics,24.0,368.62,10,Extreme Heat
2023-02-09,STORE-28,PROD-156,Furniture,35.0,95.24,10,Rain
2023-02-10,STORE-22,PROD-79,Furniture,30.0,187.0,20,None
2023-02-11,STORE-18,PROD-183,Furniture,30.0,322.28,20,Extreme Heat
2023-02-12,STORE-10,PROD-182,Clothing,47.0,44.64,15,None
2023-02-13,STORE-14,PROD-165,Grocery,35.0,187.15,5,None
2023-02-14,STORE-49,PROD-71,Grocery,19.0,272.05,5,Rain
2023-02-15,STORE-22,PROD-109,Grocery,8.0,498.15,15,Rain
2023-02-16,STORE-7,PROD-97,Grocery,26.0,242.52,5,Snow
2023-02-17,STORE-6,PROD-90,Furniture,49.0,409.87,10,Extreme Heat
2023-02-18,STORE-25,PROD-118,Clothing,40.0,221.71,15,Extreme Heat
2023-02-19,STORE-7,PROD-65,Clothing,7.0,400.23,15,Rain
2023-02-20,STORE-23,PROD-56,Furniture,30.0,301.75,5,None
2023-02-21,STORE-23,PROD-120,Clothing,7.0,444.43,0,Snow
2023-02-22,STORE-39,PROD-78,Furniture,3.0,211.36,5,Rain
2023-02-23,STORE-17,PROD-174,Grocery,1.0,306.11,0,Snow
2023-02-24,STORE-3,PROD-134,Furniture,36.0,318.71,15,Snow
2023-02-25,STORE-47,PROD-160,Grocery,25.0,214.52,0,Extreme Heat
2023-02-26,STORE-30,PROD-102,Grocery,37.0,80.71,10,Snow
2023-02-27,STORE-35,PROD-150,Electronics,1.0,55.84,20,Extreme Heat
2023-02-28,STORE-8,PROD-27,Furniture,15.0,18.17,0,None
2023-03-01,STORE-25,PROD-2,Electronics,37.0,438.03,20,None
2023-03-02,STORE-6,PROD-131,Furniture,13.0,125.87,10,Rain
2023-03-03,STORE-36,PROD-170,Furniture,40.0,113.64,20,None
2023-03-04,STORE-19,PROD-96,Electronics,8.0,370.66,10,Extreme Heat
2023-03-05,STORE-41,PROD-144,Electronics,5.0,166.81,20,Snow
2023-03-06,STORE-40,PROD-166,Furniture,4.5,257.96,20,Snow
2023-03-07,STORE-24,PROD-153,Clothing,1.0,89.63,5,None
2023-03-08,STORE-37,PROD-156,Grocery,36.0,480.28,0,Extreme Heat
2023-03-09,STORE-13,PROD-73,Electronics,35.0,427.27,20,Snow
2023-03-10,STORE-46,PROD-77,Grocery,2.0,433.26,15,None
2023-03-11,STORE-5,PROD-176,Clothing,40.0,209.32,5,Extreme Heat
2023-03-12,STORE-3,PROD-28,Clothing,23.0,383.56,0,Extreme Heat
2023-03-13,STORE-43,PROD-124,Clothing,9.0,80.5,5,Snow
2023-03-14,STORE-15,PROD-17,Electronics,34.0,14.22,0,Rain
2023-03-15,STORE-50,PROD-87,Clothing,46.0,19.79,10,Rain
2023-03-16,STORE-19,PROD-71,Electronics,14.0,297.43,20,Extreme Heat
2023-03-17,STORE-6,PROD-164,Clothing,4.0,233.14,15,Extreme Heat
2023-03-18,STORE-15,PROD-84,Grocery,30.0,263.83,5,None
2023-03-19,STORE-7,PROD-71,Grocery,31.0,13.66,5,Extreme Heat
2023-03-20,STORE-25,PROD-67,Furniture,38.0,217.12,5,None
2023-03-21,STORE-18,PROD-168,Grocery,11.0,361.85,5,None
2023-03-22,STORE-30,PROD-183,Furniture,35.0,226.92,20,None
2023-03-23,STORE-41,PROD-167,Grocery,8.0,368.79,0,Extreme Heat
2023-03-24,STORE-24,PROD-77,Electronics,3.0,124.18,20,Extreme Heat
2023-03-25,STORE-11,PROD-49,Grocery,14.0,408.44,10,None
2023-03-26,STORE-24,PROD-39,Furniture,13.0,298.33,20,Snow
2023-03-27,STORE-23,PROD-133,Furniture,45.0,113.27,20,Extreme Heat
2023-03-28,STORE-14,PROD-196,Clothing,32.0,125.99,10,Rain
2023-03-29,STORE-43,PROD-62,Electronics,34.0,317.73,20,Snow
2023-03-30,STORE-18,PROD-15,Grocery,45.0,416.67,0,Rain
2023-03-31,STORE-45,PROD-154,Clothing,19.0,213.66,15,Extreme Heat
2023-04-01,STORE-44,PROD-104,Grocery,38.0,136.57,10,Snow
2023-04-02,STORE-42,PROD-170,Grocery,16.0,434.84,5,Extreme Heat
2023-04-03,STORE-5,PROD-82,Clothing,2.0,337.94,0,Extreme Heat
2023-04-04,STORE-39,PROD-175,Clothing,40.0,229.56,15,Snow
2023-04-05,STORE-41,PROD-36,Clothing,17.0,249.07,0,Extreme Heat
2023-04-06,STORE-11,PROD-185,Clothing,34.0,110.09,0,Snow
2023-04-07,STORE-35,PROD-7,Clothing,42.0,317.13,5,Extreme Heat
2023-04-08,STORE-47,PROD-168,Grocery,16.0,185.78,15,None
2023-04-09,STORE-16,PROD-128,Clothing,38.0,497.87,0,Rain
2023-04-10,STORE-11,PROD-76,Electronics,2.0,245.29,5,None
2023-04-11,STORE-30,PROD-67,Furniture,2.0,248.08,10,Extreme Heat
2023-04-12,STORE-25,PROD-108,Clothing,26.0,287.27,5,Extreme Heat
2023-04-13,STORE-18,PROD-104,Clothing,13.0,459.21,20,Extreme Heat
2023-04-14,STORE-41,PROD-100,Grocery,47.0,402.4,5,None
2023-04-15,STORE-45,PROD-189,Clothing,31.0,231.05,5,Extreme Heat
2023-04-16,STORE-36,PROD-10,Clothing,34.0,362.16,5,Snow
2023-04-17,STORE-15,PROD-150,Clothing,39.0,297.26,0,Rain
2023-04-18,STORE-44,PROD-182,Grocery,3.0,251.26,15,Extreme Heat
2023-04-19,STORE-21,PROD-147,Clothing,8.0,104.23,5,Extreme Heat
2023-04-20,STORE-50,PROD-49,Furniture,23.0,237.33,5,Rain
2023-04-21,STORE-50,PROD-88,Grocery,14.0,130.45,20,Rain
2023-04-22,STORE-4,PROD-186,Furniture,27.0,458.27,20,Rain
2023-04-23,STORE-15,PROD-183,Grocery,29.0,174.35,10,None
2023-04-24,STORE-3,PROD-57,Clothing,39.0,476.61,10,None
2023-04-25,STORE-21,PROD-176,Furniture,39.0,271.2,20,Extreme Heat
2023-04-26,STORE-26,PROD-137,Grocery,,319.46,15,Rain
2023-04-27,STORE-18,PROD-164,Electronics,17.0,276.04,10,Extreme Heat
2023-04-28,STORE-5,PROD-122,Clothing,41.0,73.4,15,Extreme Heat
2023-04-29,STORE-14,PROD-172,Grocery,30.0,194.15,20,Extreme Heat
2023-04-30,STORE-37,PROD-92,Electronics,13.0,58.58,10,None
2023-05-01,STORE-46,PROD-130,Grocery,21.0,315.25,5,Rain
2023-05-02,STORE-21,PROD-77,Electronics,19.0,228.97,20,Extreme Heat
2023-05-03,STORE-14,PROD-44,Clothing,19.0,391.21,10,None
2023-05-04,STORE-42,PROD-169,Furniture,25.0,118.03,15,Snow
2023-05-05,STORE-32,PROD-143,Electronics,22.0,90.64,15,Snow
2023-05-06,STORE-26,PROD-47,Grocery,31.0,209.1,10,Extreme Heat
2023-05-07,STORE-42,PROD-76,Clothing,17.0,464.03,15,Extreme Heat
2023-05-08,STORE-30,PROD-25,Electronics,23.0,358.11,10,Rain
2023-05-09,STORE-10,PROD-121,Grocery,32.0,215.27,10,Rain
2023-05-10,STORE-17,PROD-33,Grocery,10.0,263.46,15,Extreme Heat
2023-05-11,STORE-9,PROD-190,Grocery,10.0,51.26,0,None
2023-05-12,STORE-16,PROD-67,Electronics,36.0,492.44,5,Extreme Heat
2023-05-13,STORE-48,PROD-186,Electronics,8.0,336.54,20,Rain
2023-05-14,STORE-36,PROD-144,Electronics,20.0,149.85,5,Rain
2023-05-15,STORE-35,PROD-196,Furniture,32.0,297.05,20,None
2023-05-16,STORE-17,PROD-47,Electronics,14.0,63.65,20,Extreme Heat
2023-05-17,STORE-48,PROD-175,Electronics,28.0,483.26,5,Rain
2023-05-18,STORE-38,PROD-86,Electronics,46.0,95.64,10,Extreme Heat
2023-05-19,STORE-28,PROD-168,Furniture,24.0,327.53,15,Rain
2023-05-20,STORE-38,PROD-23,Electronics,15.0,130.27,0,Snow
2023-05-21,STORE-26,PROD-57,Grocery,22.0,361.61,0,Snow
2023-05-22,STORE-24,PROD-91,Electronics,30.0,390.64,0,Snow
2023-05-23,STORE-15,PROD-58,Grocery,4.0,339.98,5,Rain
2023-05-24,STORE-9,PROD-191,Grocery,13.0,311.1,5,None
2023-05-25,STORE-33,PROD-79,Grocery,23.0,447.31,10,Snow
2023-05-26,STORE-32,PROD-108,Furniture,8.0,48.53,0,Rain
2023-05-27,STORE-6,PROD-85,Furniture,18.0,172.15,10,Extreme Heat
2023-05-28,STORE-49,PROD-96,Furniture,12.0,131.66,0,Snow
2023-05-29,STORE-4,PROD-67,Electronics,31.0,494.13,5,None
2023-05-30,STORE-8,PROD-150,Grocery,14.0,200.8,15,None
2023-05-31,STORE-10,PROD-76,Furniture,34.0,368.98,15,None
2023-06-01,STORE-41,PROD-119,Furniture,18.0,345.52,15,Extreme Heat
2023-06-02,STORE-11,PROD-31,Electronics,34.0,113.92,15,Extreme Heat
2023-06-03,STORE-44,PROD-121,Furniture,11.0,127.11,20,None
2023-06-04,STORE-28,PROD-14,Electronics,41.0,147.83,0,None
2023-06-05,STORE-39,PROD-163,Clothing,12.0,211.45,15,None
2023-06-06,STORE-5,PROD-150,Furniture,49.0,124.82,20,Extreme Heat
2023-06-07,STORE-25,PROD-149,Clothing,15.0,19.63,20,Extreme Heat
2023-06-08,STORE-25,PROD-159,Electronics,31.0,440.9,20,Rain
2023-06-09,STORE-39,PROD-19,Grocery,49.0,483.15,10,Snow
2023-06-10,STORE-30,PROD-121,Furniture,29.0,177.37,10,Extreme Heat
2023-06-11,STORE-34,PROD-50,Electronics,26.0,175.87,20,None
2023-06-12,STORE-17,PROD-129,Grocery,18.0,13.47,15,Snow
2023-06-13,STORE-36,PROD-31,Grocery,32.0,686.64,0,Extreme Heat
2023-06-14,STORE-1,PROD-175,Clothing,22.0,414.47,5,Snow
2023-06-15,STORE-44,PROD-98,Electronics,38.0,81.84,10,Rain
2023-06-16,STORE-47,PROD-136,Grocery,17.0,88.24,15,Extreme Heat
2023-06-17,STORE-8,PROD-77,Furniture,23.0,397.14,15,None
2023-06-18,STORE-44,PROD-106,Furniture,24.0,311.98,5,None
2023-06-19,STORE-35,PROD-14,Clothing,,31.98,5,Rain
2023-06-20,STORE-49,PROD-39,Grocery,41.0,315.05,15,Rain
2023-06-21,STORE-18,PROD-36,Electronics,6.0,161.37,5,Rain
2023-06-22,STORE-50,PROD-52,Furniture,5.0,,15,Rain
2023-06-23,STORE-42,PROD-88,Grocery,44.0,387.17,5,Rain
2023-06-24,STORE-22,PROD-105,Grocery,29.0,407.36,5,Extreme Heat
2023-06-25,STORE-8,PROD-146,Clothing,28.0,206.17,15,Extreme Heat
2023-06-26,STORE-19,PROD-118,Furniture,11.0,474.1,20,Snow
2023-06-27,STORE-28,PROD-37,Furniture,1.0,209.17,15,Rain
2023-06-28,STORE-11,PROD-81,Electronics,43.0,388.2,0,None
2023-06-29,STORE-30,PROD-184,Furniture,19.0,247.1,5,None
2023-06-30,STORE-1,PROD-47,Electronics,9.0,449.79,10,Rain
2023-07-01,STORE-47,PROD-200,Furniture,27.0,454.8,5,Rain
2023-07-02,STORE-47,PROD-21,Clothing,34.0,52.83,0,Rain
2023-07-03,STORE-17,PROD-125,Furniture,44.0,468.88,10,Rain
2023-07-04,STORE-33,PROD-86,Electronics,4.0,414.51,10,Rain
2023-07-05,STORE-49,PROD-162,Electronics,36.0,397.74,15,None
2023-07-06,STORE-12,PROD-46,Clothing,18.0,108.45,20,Snow
2023-07-07,STORE-33,PROD-81,Furniture,15.0,404.51,15,Rain
2023-07-08,STORE-7,PROD-163,Furniture,,426.57,10,Rain
2023-07-09,STORE-41,PROD-15,Clothing,19.0,151.68,10,Rain
2023-07-10,STORE-20,PROD-2,Furniture,49.0,476.61,20,Extreme Heat
2023-07-11,STORE-41,PROD-116,Furniture,6.0,34.43,5,None
2023-07-12,STORE-33,PROD-71,Electronics,48.0,83.46,20,None
2023-07-13,STORE-39,PROD-54,Furniture,12.0,273.41,15,Snow
2023-07-14,STORE-13,PROD-195,Furniture,37.0,292.14,5,Extreme Heat
2023-07-15,STORE-10,PROD-199,Clothing,17.0,326.12,15,Extreme Heat
2023-07-16,STORE-24,PROD-44,Clothing,23.0,18.31,20,Extreme Heat
2023-07-17,STORE-49,PROD-148,Grocery,26.0,480.58,5,Snow
2023-07-18,STORE-11,PROD-196,Electronics,29.0,31.85,20,Snow
2023-07-19,STORE-35,PROD-41,Furniture,33.0,80.1,0,Snow
2023-07-20,STORE-50,PROD-126,Furniture,27.0,16.87,10,Extreme Heat
2023-07-21,STORE-34,PROD-196,Grocery,25.0,287.76,5,None
2023-07-22,STORE-1,PROD-200,Furniture,10.0,466.81,10,Extreme Heat
2023-07-23,STORE-39,PROD-23,Electronics,47.0,336.31,0,Snow
2023-07-24,STORE-21,PROD-34,Grocery,23.0,413.1,5,Extreme Heat
2023-07-25,STORE-32,PROD-158,Electronics,21.0,16.51,10,Rain
2023-07-26,STORE-2,PROD-112,Grocery,21.0,275.59,10,Extreme Heat
2023-07-27,STORE-8,PROD-163,Grocery,43.0,235.19,5,Extreme Heat
2023-07-28,STORE-24,PROD-110,Clothing,13.0,254.49,10,None
2023-07-29,STORE-20,PROD-104,Electronics,37.0,45.38,10,None
2023-07-30,STORE-16,PROD-110,Furniture,33.0,345.37,5,None
2023-07-31,STORE-4,PROD-123,Furniture,24.0,256.58,10,Rain
2023-08-01,STORE-16,PROD-99,Electronics,44.0,384.92,10,None
2023-08-02,STORE-37,PROD-2,Furniture,11.0,247.79,15,Rain
2023-08-03,STORE-6,PROD-10,Furniture,17.0,83.2,15,Snow
2023-08-04,STORE-6,PROD-137,Electronics,4.0,327.65,0,None
2023-08-05,STORE-47,PROD-52,Grocery,47.0,94.47,15,Extreme Heat
2023-08-06,STORE-32,PROD-188,Electronics,25.0,437.47,15,Extreme Heat
2023-08-07,STORE-5,PROD-96,Grocery,30.0,310.43,0,Rain
2023-08-08,STORE-49,PROD-4,Furniture,9.0,87.03,10,None
2023-08-09,STORE-35,PROD-83,Furniture,21.0,481.55,10,Extreme Heat
2023-08-10,STORE-50,PROD-194,Furniture,20.0,264.0,15,Snow
2023-08-11,STORE-9,PROD-136,Clothing,19.0,45.72,0,None
2023-08-12,STORE-9,PROD-49,Grocery,19.0,317.15,10,Snow
2023-08-13,STORE-43,PROD-5,Clothing,6.0,134.07,20,Extreme Heat
2023-08-14,STORE-31,PROD-174,Clothing,37.0,403.81,5,None
2023-08-15,STORE-36,PROD-2,Electronics,42.0,821.46,5,Rain
2023-08-16,STORE-11,PROD-161,Clothing,17.0,489.68,5,Extreme Heat
2023-08-17,STORE-17,PROD-188,Electronics,37.0,255.92,15,Snow
2023-08-18,STORE-34,PROD-64,Electronics,48.0,232.93,5,None
2023-08-19,STORE-39,PROD-58,Clothing,39.0,379.2,5,Snow
2023-08-20,STORE-28,PROD-178,Grocery,28.0,74.91,20,Snow
2023-08-21,STORE-14,PROD-89,Grocery,41.0,277.99,10,Rain
2023-08-22,STORE-35,PROD-80,Grocery,35.0,277.66,20,Rain
2023-08-23,STORE-49,PROD-34,Grocery,47.0,53.84,15,Extreme Heat
2023-08-24,STORE-47,PROD-27,Grocery,48.0,214.81,5,Rain
2023-08-25,STORE-45,PROD-99,Clothing,18.0,428.11,10,Rain
2023-08-26,STORE-13,PROD-129,Clothing,14.0,429.52,5,Extreme Heat
2023-08-27,STORE-46,PROD-151,Furniture,35.0,117.26,5,Extreme Heat
2023-08-28,STORE-20,PROD-79,Grocery,44.0,54.45,15,Extreme Heat
2023-08-29,STORE-26,PROD-43,Clothing,41.0,138.72,5,Extreme Heat
2023-08-30,STORE-43,PROD-17,Furniture,7.0,438.64,0,Snow
2023-08-31,STORE-42,PROD-12,Grocery,41.0,73.16,10,Snow
2023-09-01,STORE-24,PROD-77,Electronics,13.0,362.8,10,Extreme Heat
2023-09-02,STORE-29,PROD-75,Furniture,18.0,59.57,0,Extreme Heat
2023-09-03,STORE-34,PROD-117,Clothing,37.0,315.34,15,None
2023-09-04,STORE-29,PROD-187,Electronics,13.0,184.47,5,None
2023-09-05,STORE-8,PROD-134,Electronics,36.0,396.57,5,None
2023-09-06,STORE-16,PROD-153,Electronics,31.0,124.51,10,Rain
2023-09-07,STORE-15,PROD-135,Furniture,2.0,323.21,15,Snow
2023-09-08,STORE-5,PROD-87,Clothing,16.0,125.48,15,Snow
2023-09-09,STORE-22,PROD-112,Electronics,9.0,359.69,15,None
2023-09-10,STORE-2,PROD-176,Grocery,9.0,438.1,5,None
2023-09-11,STORE-38,PROD-35,Electronics,38.0,72.13,15,Snow
2023-09-12,STORE-36,PROD-88,Electronics,11.0,434.63,0,Rain
2023-09-13,STORE-15,PROD-126,Furniture,22.0,300.85,20,None
