ORDER_ID,CUSTOMER_ID,PRODUCT_CATEGORY,REGION,ORDER_DATE,QUANTITY,UNIT_PRICE,TOTAL_SALES,PROFIT
ORD-1,CUST-655,Furniture,East,1/1/23 0:00,19,73.07,1388.33,212.82
ORD-2,CUST-115,Grocery,East,1/1/23 1:00,8,93.41,747.28,135.14
ORD-3,CUST-26,Electronics,East,1/1/23 2:00,7,43.78,306.46,73.66
ORD-4,CUST-760,Furniture,East,1/1/23 3:00,16,31.74,507.84,54.73
ORD-5,CUST-282,Furniture,West,1/1/23 4:00,19,59.94,1138.86,331.89
ORD-6,CUST-251,Grocery,East,1/1/23 5:00,6,81.66,489.96,53.53
ORD-7,CUST-229,Electronics,North,1/1/23 6:00,11,10.34,113.74,31.42
ORD-8,CUST-143,Electronics,East,1/1/23 7:00,5,66.82,334.1,93.17
ORD-9,CUST-755,Furniture,West,1/1/23 8:00,16,63.69,1019.04,208.8
ORD-10,CUST-105,Clothing,East,1/1/23 9:00,7,38.63,270.41,34.45
ORD-11,CUST-693,Furniture,North,1/1/23 10:00,5,50.63,253.15,53.93
ORD-12,CUST-759,Furniture,West,1/1/23 11:00,11,32.23,354.53,80.03
ORD-13,CUST-914,Furniture,West,1/1/23 12:00,15,81.09,1216.35,330.3
ORD-14,CUST-559,Furniture,North,1/1/23 13:00,3,67.11,201.33,42.32
ORD-15,CUST-90,Grocery,North,1/1/23 14:00,5,57.94,289.7,52.77
ORD-16,CUST-605,Electronics,North,1/1/23 15:00,5,45.33,226.65,60.66
ORD-17,CUST-433,Grocery,North,1/1/23 16:00,9,36.22,325.98,96.55
ORD-18,CUST-33,Grocery,North,1/1/23 17:00,15,84.05,1260.75,288.74
ORD-19,CUST-31,Grocery,West,1/1/23 18:00,3,50.63,151.89,41.75
ORD-20,CUST-96,Furniture,West,1/1/23 19:00,6,55.13,330.78,72.69
ORD-21,CUST-224,Clothing,East,1/1/23 20:00,17,56.87,966.79,230.06
ORD-22,CUST-239,Electronics,East,1/1/23 21:00,8,50.35,402.8,
ORD-23,CUST-518,Clothing,South,1/1/23 22:00,11,33.05,363.55,87.6
ORD-24,CUST-617,Grocery,East,1/1/23 23:00,6,20.83,124.98,20.52
ORD-25,CUST-28,Grocery,East,1/2/23 0:00,8,18.87,150.96,32.48
ORD-26,CUST-575,Clothing,North,1/2/23 1:00,10,78.17,781.7,171.06
ORD-27,CUST-204,Clothing,North,1/2/23 2:00,3,30.12,90.36,14.73
ORD-28,CUST-734,Clothing,East,1/2/23 3:00,14,15.01,210.14,35.72
ORD-29,CUST-666,Grocery,South,1/2/23 4:00,14,81.78,1144.92,289.03
ORD-30,CUST-719,Grocery,North,1/2/23 5:00,10,23.87,238.7,51.69
ORD-31,CUST-559,Electronics,East,1/2/23 6:00,12,66.26,795.12,103.24
ORD-32,CUST-430,Electronics,East,1/2/23 7:00,6,40.48,242.88,64.98
ORD-33,CUST-226,Grocery,West,1/2/23 8:00,12,21.38,256.56,70.97
ORD-34,CUST-460,Clothing,South,1/2/23 9:00,14,47.3,662.2,127.96
ORD-35,CUST-604,Clothing,West,1/2/23 10:00,2,11.33,22.66,3.21
ORD-36,CUST-285,Electronics,South,1/2/23 11:00,9,85.69,771.21,223.28
ORD-37,CUST-829,Grocery,North,1/2/23 12:00,10,56.21,562.1,155.39
ORD-38,CUST-891,Electronics,South,1/2/23 13:00,17,22.52,382.84,57
ORD-39,CUST-7,Electronics,East,1/2/23 14:00,17,31.33,532.61,63.44
ORD-40,CUST-778,Furniture,East,1/2/23 15:00,3,50.32,150.96,28.4
ORD-41,CUST-826,Furniture,South,1/2/23 16:00,19,27,513,120.7
ORD-42,CUST-164,Furniture,South,1/2/23 17:00,1,34.17,34.17,4.62
ORD-43,CUST-715,Clothing,South,1/2/23 18:00,12,58.09,697.08,141.26
ORD-44,CUST-433,Grocery,West,1/2/23 19:00,7,84.93,594.51,110.03
ORD-45,CUST-349,Grocery,South,1/2/23 20:00,4,46.17,184.68,51.36
ORD-46,CUST-285,Grocery,North,1/2/23 21:00,10,74.53,745.3,138.56
ORD-47,CUST-160,Grocery,West,1/2/23 22:00,13,88.9,1155.7,238.95
ORD-48,CUST-221,Furniture,West,1/2/23 23:00,2,29.47,58.94,17.15
ORD-49,CUST-981,Clothing,South,1/3/23 0:00,10,82.65,826.5,132.19
ORD-50,CUST-782,Clothing,North,1/3/23 1:00,4,78.17,312.68,49.34
ORD-51,CUST-345,Furniture,West,1/3/23 2:00,18,42.12,758.16,197.06
ORD-52,CUST-105,Clothing,East,1/3/23 3:00,5,99.06,495.3,77.02
ORD-53,CUST-95,Furniture,West,1/3/23 4:00,19,33.63,638.97,170.2
ORD-54,CUST-390,Grocery,South,1/3/23 5:00,2,32.93,65.86,7.84
ORD-55,CUST-100,Furniture,North,1/3/23 6:00,12,79.5,954,116.63
ORD-56,CUST-368,Grocery,South,1/3/23 7:00,17,49.12,835.04,234.03
ORD-57,CUST-868,Grocery,East,1/3/23 8:00,10,39.77,397.7,82.79
ORD-58,CUST-353,Electronics,East,1/3/23 9:00,2,26.08,52.16,12.71
ORD-59,CUST-619,Furniture,East,1/3/23 10:00,6,78.88,473.28,68.65
ORD-60,CUST-271,Electronics,South,1/3/23 11:00,8,80.77,646.16,86.1
ORD-61,CUST-827,Furniture,West,1/3/23 12:00,19,60.99,1158.81,309.39
ORD-62,CUST-45,Furniture,South,1/3/23 13:00,11,96.16,1057.76,181.64
ORD-63,CUST-748,Electronics,North,1/3/23 14:00,12,38.63,463.56,88.54
ORD-64,CUST-471,Electronics,West,1/3/23 15:00,9,29.77,267.93,28.29
ORD-65,CUST-550,Furniture,East,1/3/23 16:00,2,70.97,141.94,25.15
ORD-66,CUST-128,Clothing,South,1/3/23 17:00,8,78.26,626.08,159.08
ORD-67,CUST-997,Grocery,East,1/3/23 18:00,11,30.24,166.32,87.9
ORD-68,CUST-945,Electronics,East,1/3/23 19:00,4,16.89,67.56,16.2
ORD-69,CUST-388,Grocery,North,1/3/23 20:00,10,82.95,829.5,197.78
ORD-70,CUST-81,Clothing,West,1/3/23 21:00,16,97.89,783.12,315.2
ORD-71,CUST-566,Clothing,North,1/3/23 22:00,8,68.02,544.16,113
ORD-72,CUST-301,Clothing,North,1/3/23 23:00,4,35.01,140.04,34.8
ORD-73,CUST-850,Electronics,North,1/4/23 0:00,10,99.7,997,149.01
ORD-74,CUST-644,Clothing,East,1/4/23 1:00,12,90.39,1084.68,158.69
ORD-75,CUST-634,Electronics,North,1/4/23 2:00,14,56.2,786.8,228.16
ORD-76,CUST-907,Clothing,North,1/4/23 3:00,16,84.28,1348.48,142.32
ORD-77,CUST-883,Grocery,West,1/4/23 4:00,18,83.42,750.78,192.04
ORD-78,CUST-371,Grocery,West,1/4/23 5:00,12,94.13,1129.56,241.8
ORD-79,CUST-592,Furniture,North,1/4/23 6:00,18,85.68,1542.24,381.81
ORD-80,CUST-197,Grocery,West,1/4/23 7:00,7,67.93,475.51,98.71
ORD-81,CUST-722,Furniture,West,1/4/23 8:00,7,64.84,453.88,77.62
ORD-82,CUST-72,Grocery,North,1/4/23 9:00,9,52.06,468.54,138.5
ORD-83,CUST-47,Electronics,East,1/4/23 10:00,1,66.38,66.38,15.98
ORD-84,CUST-678,Grocery,North,1/4/23 11:00,6,81.57,489.42,130.32
ORD-85,CUST-234,Furniture,West,1/4/23 12:00,6,97.21,583.26,63.02
ORD-86,CUST-792,Furniture,East,1/4/23 13:00,12,52.06,624.72,91.95
ORD-87,CUST-297,Clothing,South,1/4/23 14:00,12,61.63,739.56,129.3
ORD-88,CUST-82,Electronics,East,1/4/23 15:00,10,50.03,500.3,68.3
ORD-89,CUST-876,Grocery,West,1/4/23 16:00,6,70.16,420.96,48.23
ORD-90,CUST-239,Clothing,East,1/4/23 17:00,17,66.69,1133.73,164.41
ORD-91,CUST-888,Grocery,North,1/4/23 18:00,19,11.61,220.59,45.6
ORD-92,CUST-104,Grocery,South,1/4/23 19:00,18,58.7,1056.6,252.68
ORD-93,CUST-390,Clothing,South,1/4/23 20:00,6,17.96,107.76,41.19
ORD-94,CUST-285,Clothing,South,1/4/23 21:00,19,12.37,235.03,25.52
ORD-95,CUST-465,Clothing,West,1/4/23 22:00,10,81.21,812.1,150.72
ORD-96,CUST-651,Clothing,West,1/4/23 23:00,8,33.28,266.24,33.13
ORD-97,CUST-855,Clothing,South,1/5/23 0:00,6,40.66,243.96,45.44
ORD-98,CUST-374,Grocery,East,1/5/23 1:00,7,15.77,110.39,20.62
