CUSTOMER_ID,ORDER_ID,REGION,CATEGORY,ORDER_DATE,SHIP_DATE,TOTAL_SALES,PROFIT_MARGIN
CUST-655,ORD-1,East,Furniture,2023-01-01 00:00:00,2023-01-02 00:00:00,399.7,0.22
CUST-115,ORD-2,West,Furniture,2023-01-01 01:00:00,2023-01-02 01:00:00,478.7,0.2
CUST-26,ORD-3,North,Furniture,2023-01-01 02:00:00,2023-01-02 02:00:00,856.0,0.13
CUST-760,ORD-4,East,Furniture,2023-01-01 03:00:00,2023-01-02 03:00:00,346.6,0.32
CUST-282,ORD-5,East,Grocery,2023-01-01 04:00:00,2023-01-02 04:00:00,870.95,0.26
CUST-251,ORD-6,West,Furniture,2023-01-01 05:00:00,2023-01-02 05:00:00,97.25,0.44
CUST-229,ORD-7,North,Electronics,2023-01-01 06:00:00,2023-01-02 06:00:00,779.03,0.06
CUST-143,ORD-8,North,Furniture,2023-01-01 07:00:00,2023-01-02 07:00:00,849.07,0.34
CUST-755,ORD-9,East,Grocery,2023-01-01 08:00:00,2023-01-02 08:00:00,190.0,0.39
CUST-105,ORD-10,South,Furniture,2023-01-01 09:00:00,2023-01-02 09:00:00,436.04,0.39
CUST-693,ORD-11,East,Electronics,2023-01-01 10:00:00,2023-01-02 10:00:00,173.84,0.45
CUST-759,ORD-12,East,Grocery,2023-01-01 11:00:00,2023-01-02 11:00:00,709.54,0.38
CUST-914,ORD-13,East,Grocery,2023-01-01 12:00:00,2023-01-02 12:00:00,539.99,0.47
CUST-559,ORD-14,East,Electronics,2023-01-01 13:00:00,2023-01-02 13:00:00,638.97,0.2
CUST-90,ORD-15,West,Electronics,2023-01-01 14:00:00,2023-01-02 14:00:00,204.52,0.28
CUST-605,ORD-16,North,Electronics,2023-01-01 15:00:00,2023-01-02 15:00:00,219.63,0.06
CUST-433,ORD-17,West,Electronics,2023-01-01 16:00:00,2023-01-02 16:00:00,51.08,0.05
CUST-33,ORD-18,West,Electronics,2023-01-01 17:00:00,2023-01-02 17:00:00,328.85,0.16
CUST-31,ORD-19,West,Grocery,2023-01-01 18:00:00,2023-01-02 18:00:00,564.15,0.1
CUST-96,ORD-20,East,Grocery,2023-01-01 19:00:00,2023-01-02 19:00:00,859.36,0.17
CUST-224,ORD-21,South,Furniture,2023-01-01 20:00:00,2023-01-02 20:00:00,670.26,0.13
CUST-239,ORD-22,North,Furniture,2023-01-01 21:00:00,2023-01-02 21:00:00,441.04,
CUST-518,ORD-23,South,Clothing,2023-01-01 22:00:00,2023-01-02 22:00:00,953.59,0.46
CUST-617,ORD-24,West,Furniture,2023-01-01 23:00:00,2023-01-02 23:00:00,722.05,0.05
CUST-28,ORD-25,West,Furniture,2023-01-02 00:00:00,2023-01-03 00:00:00,930.86,0.38
CUST-575,ORD-26,South,Electronics,2023-01-02 01:00:00,2023-01-03 01:00:00,532.31,0.12
CUST-204,ORD-27,South,Electronics,2023-01-02 02:00:00,2023-01-03 02:00:00,266.32,0.46
CUST-734,ORD-28,South,Furniture,2023-01-02 03:00:00,2023-01-03 03:00:00,62.3,0.45
CUST-666,ORD-29,West,Clothing,2023-01-02 04:00:00,2023-01-03 04:00:00,728.82,0.34
CUST-719,ORD-30,West,Electronics,2023-01-02 05:00:00,2023-01-03 05:00:00,130.09,0.35
CUST-559,ORD-31,North,Furniture,2023-01-02 06:00:00,2023-01-03 06:00:00,309.75,0.05
CUST-430,ORD-32,North,Furniture,2023-01-02 07:00:00,2023-01-03 07:00:00,537.15,0.49
CUST-226,ORD-33,West,Grocery,2023-01-02 08:00:00,2023-01-03 08:00:00,568.77,0.45
CUST-460,ORD-34,South,Clothing,2023-01-02 09:00:00,2023-01-03 09:00:00,604.58,0.45
CUST-604,ORD-35,South,Grocery,2023-01-02 10:00:00,2023-01-03 10:00:00,174.59,0.35
CUST-285,ORD-36,North,Clothing,2023-01-02 11:00:00,2023-01-03 11:00:00,385.94,0.21
CUST-829,ORD-37,West,Electronics,2023-01-02 12:00:00,2023-01-03 12:00:00,621.02,0.45
CUST-891,ORD-38,North,Clothing,2023-01-02 13:00:00,2023-01-03 13:00:00,970.12,0.18
CUST-7,ORD-39,North,Furniture,2023-01-02 14:00:00,2023-01-03 14:00:00,730.35,0.3
CUST-778,ORD-40,East,Furniture,2023-01-02 15:00:00,2023-01-03 15:00:00,923.38,0.09
CUST-826,ORD-41,East,Clothing,2023-01-02 16:00:00,2023-01-03 16:00:00,764.59,0.46
CUST-164,ORD-42,East,Clothing,2023-01-02 17:00:00,2023-01-03 17:00:00,595.8,0.11
CUST-715,ORD-43,South,Clothing,2023-01-02 18:00:00,2023-01-03 18:00:00,200.1,0.15
CUST-433,ORD-44,West,Grocery,2023-01-02 19:00:00,2023-01-03 19:00:00,670.02,0.3
CUST-349,ORD-45,West,Clothing,2023-01-02 20:00:00,2023-01-03 20:00:00,627.15,0.39
CUST-285,ORD-46,West,Electronics,2023-01-02 21:00:00,2023-01-03 21:00:00,606.44,0.33
CUST-160,ORD-47,West,Grocery,2023-01-02 22:00:00,2023-01-03 22:00:00,494.89,0.15
CUST-221,ORD-48,East,Grocery,2023-01-02 23:00:00,2023-01-03 23:00:00,533.37,0.05
